Year,Region,Latitude,Longitude,Disaster Type,Severity Score,Claim Frequency,Claim Amount (USD),Risk Score,Risk Category
2010,USA,37.9025,-96.9702,Tornado,6.8,370,21461531.12,33.0,Low
2018,Mexico,21.9128,-100.9763,Earthquake,6.1,486,82788428.8,37.5,Low
2022,Philippines,13.32,122.0709,Flood,7.1,1575,75772045.65,51.7,Medium
2018,USA,38.8713,-95.0114,Tornado,4.5,197,9440470.98,20.9,Low
2020,USA,36.5557,-95.1173,Wildfire,7.5,259,15459297.28,34.1,Low
2021,Australia,-25.1115,134.3662,Wildfire,8.4,264,27118646.25,39.0,Low
2021,UK,54.6519,-1.8383,Hurricane/Typhoon,6.7,523,22908524.87,34.3,Low
2021,Australia,-25.3251,133.8767,Flood,7.2,2382,132142173.95,65.8,Medium
2020,India,20.0626,79.6532,Wildfire,9.4,117,7392615.84,39.5,Low
2013,Italy,40.2192,12.1227,Flood,8.3,515,10259532.03,39.4,Low
2015,Australia,-24.4817,133.7553,Tornado,6.3,331,7070628.73,29.2,Low
2016,India,21.3196,80.6869,Hurricane/Typhoon,6.7,2940,121389477.45,68.3,Medium
2011,Japan,34.2881,139.458,Tornado,6.3,181,8090972.18,27.8,Low
2020,Australia,-24.6858,133.0752,Hurricane/Typhoon,7.8,2546,169857352.95,73.6,High
2015,Australia,-26.7422,134.9274,Flood,5.2,2183,69278824.07,49.6,Medium
2019,Australia,-23.8879,132.3634,Earthquake,9.3,683,130381829.26,57.1,Medium
2015,Philippines,12.011,123.6628,Tornado,7.1,351,23751270.32,34.3,Low
2020,Japan,34.6677,140.2251,Hurricane/Typhoon,6.8,1814,92640608.1,54.6,Medium
2023,Brazil,-16.0912,-52.6522,Earthquake,7.3,602,118627640.64,47.1,Medium
2011,Brazil,-15.744,-53.8203,Drought,6.1,1038,29641362.37,37.7,Low
2021,Japan,38.0806,138.4346,Hurricane/Typhoon,7.6,1510,103336307.04,55.8,Medium
2014,Australia,-23.494,135.6928,Hurricane/Typhoon,5.6,2615,218908520.26,70.4,High
2018,Canada,55.4847,-107.8907,Hurricane/Typhoon,5.2,2556,120164118.36,58.4,Medium
2014,USA,37.5601,-96.8285,Earthquake,7.1,672,105475452.32,45.7,Medium
2020,China,34.7486,105.9327,Earthquake,6.1,601,109342434.16,41.3,Medium
2016,China,37.6905,106.0934,Earthquake,7.7,667,101790428.86,47.6,Medium
2015,Canada,57.7638,-106.8957,Flood,7.8,1714,55490866.25,53.9,Medium
2016,USA,36.4697,-96.4777,Hurricane/Typhoon,7.2,1183,98983031.28,50.5,Medium
2021,India,22.5604,80.1747,Earthquake,8.8,484,81037408.34,48.1,Medium
2014,India,21.932,79.3517,Flood,5.4,2351,139646403.96,59.1,Medium
2018,USA,38.9304,-94.6855,Flood,5.8,1319,44388479.3,40.8,Medium
2012,Brazil,-13.389,-50.899,Flood,4.8,1763,49409560.32,41.8,Medium
2013,Germany,52.4512,9.658,Hurricane/Typhoon,7.0,2198,117529726.82,61.7,Medium
2016,UK,53.9861,-4.2293,Hurricane/Typhoon,7.5,808,64016852.89,44.5,Medium
2020,Italy,41.5386,12.5275,Wildfire,6.1,172,17807209.0,27.9,Low
2016,Germany,53.0425,10.8456,Earthquake,7.7,496,91363949.05,44.9,Medium
2020,China,35.7642,104.967,Flood,6.3,271,14373190.43,29.3,Low
2021,Japan,34.434,137.5287,Tornado,4.6,93,2155116.87,19.5,Low
2012,India,21.135,80.7806,Flood,5.3,514,19595731.98,28.3,Low
2019,UK,54.103,-5.052,Wildfire,7.4,373,40238322.33,37.4,Low
2019,Philippines,12.0743,122.5118,Wildfire,5.4,410,44129135.24,30.1,Low
2014,USA,37.1627,-96.2179,Hurricane/Typhoon,6.4,967,44622284.13,39.7,Low
2016,Japan,35.0845,137.0037,Tornado,6.8,279,19743207.61,32.0,Low
2018,Philippines,13.6791,122.9803,Hurricane/Typhoon,8.7,777,69254541.97,49.5,Medium
2023,Canada,56.0481,-107.0937,Earthquake,8.9,661,94373966.39,51.6,Medium
2010,Canada,54.8188,-107.1213,Wildfire,5.5,181,19905848.7,25.8,Low
2014,USA,35.9963,-97.2086,Flood,4.4,657,12153244.07,25.4,Low
2014,UK,56.3993,-5.2599,Flood,7.6,2303,96018812.55,63.0,Medium
2013,India,22.2241,77.1331,Earthquake,6.0,148,25734905.66,28.1,Low
2016,Canada,54.9516,-104.7353,Flood,5.6,571,12305086.54,29.3,Low
2022,Philippines,11.9795,122.089,Earthquake,9.0,796,122229598.08,56.2,Medium
2019,Germany,49.4333,11.7283,Wildfire,7.4,246,28904622.62,35.0,Low
2019,Japan,37.2161,136.2673,Wildfire,9.2,566,62028379.62,48.7,Medium
2020,Germany,51.9525,9.1905,Wildfire,5.5,413,49019415.5,31.0,Low
2015,India,20.647,78.5903,Wildfire,6.4,527,30419563.19,33.9,Low
2017,USA,38.1391,-94.8911,Hurricane/Typhoon,5.2,1643,114390207.69,48.7,Medium
2017,India,20.4178,79.9047,Wildfire,8.8,281,24945525.58,40.5,Medium
2017,Australia,-23.8485,132.5251,Flood,7.8,2148,122991666.29,65.0,Medium
2020,India,18.6411,79.6566,Wildfire,6.8,585,56217551.38,38.7,Low
2013,USA,35.6635,-96.1075,Hurricane/Typhoon,5.4,991,43487681.05,35.9,Low
2018,Canada,55.4845,-105.9602,Drought,3.5,969,23744385.7,26.1,Low
2017,Australia,-24.416,134.0977,Earthquake,8.8,709,136969588.01,56.0,Medium
2022,India,21.2567,80.7606,Drought,5.0,401,10169356.44,25.0,Low
2022,USA,36.0928,-95.7209,Hurricane/Typhoon,5.5,707,59577406.26,35.0,Low
2021,Mexico,23.6225,-104.443,Flood,6.7,1539,33662776.78,45.6,Medium
2012,China,34.2453,102.4961,Wildfire,8.5,527,33799262.42,42.6,Medium
2020,China,35.821,103.2367,Earthquake,9.0,609,50011352.29,47.1,Medium
2011,UK,57.3328,-1.9095,Flood,6.0,1741,60787061.28,47.5,Medium
2014,USA,35.7975,-95.0724,Wildfire,9.0,218,18399978.83,40.0,Medium
2018,USA,37.9529,-95.7602,Flood,7.0,2468,113137655.0,64.0,Medium
2020,Brazil,-14.3264,-50.5026,Hurricane/Typhoon,6.6,2326,175526256.76,67.2,Medium
2020,India,21.296,80.0259,Earthquake,6.2,654,55860896.12,36.9,Low
2019,Mexico,23.0255,-101.5818,Flood,8.0,1597,51304905.79,53.1,Medium
2015,India,22.5578,78.6077,Flood,5.1,1161,51274087.19,37.1,Low
2011,China,37.5016,102.452,Earthquake,7.2,70,10122701.23,30.5,Low
2023,USA,37.7211,-96.0201,Hurricane/Typhoon,6.7,383,31313125.79,33.8,Low
2022,China,37.8031,103.701,Earthquake,8.0,550,50603741.09,42.6,Medium
2013,China,35.2039,104.2011,Wildfire,6.5,356,26854290.89,32.2,Low
2020,India,20.5778,80.3493,Wildfire,8.8,598,38861393.19,45.1,Medium
2014,Japan,35.3893,138.5441,Tornado,6.8,57,3594557.4,28.1,Low
2013,Brazil,-13.8625,-52.8265,Hurricane/Typhoon,7.1,2049,107745332.17,59.7,Medium
2022,UK,55.9761,-4.2226,Tornado,5.9,286,11097136.9,27.6,Low
2013,India,19.5951,79.0215,Wildfire,7.5,69,6482486.21,31.3,Low
2012,Germany,49.9062,10.4468,Wildfire,8.7,528,36302912.84,43.7,Medium
2010,China,37.0957,105.6011,Drought,6.7,1383,15486326.75,42.2,Medium
2010,Japan,36.0499,137.2115,Wildfire,8.4,495,38965518.09,42.4,Medium
2013,Mexico,25.2746,-102.0143,Tornado,5.2,156,9166959.24,23.3,Low
2017,Japan,36.6049,137.8735,Flood,4.9,1205,61294752.12,37.8,Low
2019,Australia,-25.3285,135.7352,Hurricane/Typhoon,8.6,1127,55855821.0,51.3,Medium
2023,USA,36.1236,-94.4958,Wildfire,5.8,93,10924252.66,25.2,Low
2022,Germany,49.2396,11.8883,Flood,6.7,460,25541900.12,34.0,Low
2011,India,20.0437,79.5897,Flood,8.2,775,19856935.17,42.5,Medium
2017,Brazil,-14.229,-53.4374,Wildfire,7.6,587,39696793.12,40.2,Medium
2016,Italy,40.8223,11.0491,Tornado,5.5,309,19848362.0,27.1,Low
2020,Mexico,24.6058,-100.808,Flood,4.5,1076,63103694.71,35.1,Low
2019,India,19.6072,79.3179,Hurricane/Typhoon,6.5,762,44949920.35,38.1,Low
2013,India,21.321,80.8133,Tornado,8.2,195,9460094.84,35.7,Low
2021,India,19.8227,79.5416,Drought,3.1,1456,37825171.27,30.7,Low
2021,USA,38.7598,-95.0236,Earthquake,7.3,704,137292695.52,50.0,Medium
2016,India,21.839,77.4482,Tornado,7.9,208,4258169.01,34.1,Low
2017,Canada,57.84,-104.6683,Earthquake,9.3,291,33666007.75,43.5,Medium
2016,Mexico,22.2709,-102.7946,Earthquake,8.8,709,91287052.46,51.4,Medium
2013,USA,38.5558,-94.4172,Drought,4.9,945,26960797.45,31.7,Low
2012,Australia,-25.5805,135.4442,Flood,4.7,1268,47911447.36,36.3,Low
2020,India,20.9985,80.2137,Wildfire,7.0,78,8060385.93,29.6,Low
2021,China,34.595,103.9636,Hurricane/Typhoon,5.0,1119,86943811.79,39.9,Low
2010,Australia,-26.9411,132.4013,Hurricane/Typhoon,8.9,2959,253851906.34,90.6,High
2022,Mexico,24.373,-101.3794,Earthquake,7.7,186,20698374.91,34.7,Low
2023,Philippines,14.1771,122.9681,Flood,5.9,945,30908340.02,36.1,Low
2022,India,21.9287,79.2416,Flood,4.1,2487,109725945.13,52.2,Medium
2011,China,37.4874,106.0865,Flood,7.2,891,15361047.97,39.2,Low
2022,China,36.2616,102.787,Drought,3.7,1261,15569580.08,29.0,Low
2016,Philippines,12.6106,123.45,Hurricane/Typhoon,7.7,785,41973194.04,42.8,Medium
2013,Japan,37.9842,139.5036,Earthquake,8.6,441,42170148.61,43.0,Medium
2012,Mexico,24.0303,-100.5692,Earthquake,8.4,478,48586015.85,43.2,Medium
2022,UK,53.4851,-1.5255,Flood,6.0,1217,38498210.81,40.0,Medium
2021,Philippines,12.7027,119.8113,Flood,5.5,1828,83920482.48,48.7,Medium
2018,Philippines,13.7038,122.7144,Earthquake,6.3,110,9487886.47,27.2,Low
2017,Canada,56.0137,-106.9228,Hurricane/Typhoon,7.7,2750,227078384.3,81.0,High
2010,Mexico,21.6514,-102.5318,Earthquake,9.4,737,91762503.28,54.1,Medium
2018,Canada,56.3682,-106.0181,Earthquake,7.8,397,73583001.26,42.5,Medium
2013,USA,36.3593,-95.5883,Flood,4.5,380,22432633.89,24.0,Low
2023,Germany,53.0535,9.574,Earthquake,7.5,319,48983020.52,38.1,Low
2011,UK,54.425,-4.178,Tornado,5.4,261,17179156.98,25.9,Low
2017,Japan,37.6121,138.8797,Wildfire,5.2,202,10871579.75,23.9,Low
2012,Japan,36.081,136.9042,Hurricane/Typhoon,5.5,2327,98775338.35,55.1,Medium
2022,India,21.4261,78.9008,Hurricane/Typhoon,8.4,906,42961844.16,47.0,Medium
2017,USA,38.5627,-96.9874,Flood,6.3,1317,53135856.53,43.7,Medium
2020,China,34.7096,106.182,Flood,7.5,939,31680784.48,42.6,Medium
2018,USA,38.163,-95.0024,Tornado,4.1,358,28239064.53,22.8,Low
2018,USA,36.5842,-93.9934,Flood,5.5,318,5930014.92,25.8,Low
2019,Mexico,24.2682,-102.7338,Drought,5.4,111,1841327.77,22.9,Low
2015,USA,37.5795,-95.8976,Drought,7.0,1265,15921801.02,42.2,Medium
2022,Mexico,24.8362,-103.4182,Wildfire,8.3,440,24850571.13,40.1,Medium
2017,Japan,35.1603,139.3335,Earthquake,6.1,263,26182407.98,29.6,Low
2019,UK,54.5097,-2.4198,Wildfire,5.5,552,58554520.27,33.4,Low
2023,Philippines,14.5568,123.3849,Hurricane/Typhoon,6.4,693,62316758.51,38.8,Low
2021,Germany,51.1185,11.9917,Hurricane/Typhoon,7.3,2032,92279908.84,58.7,Medium
2018,India,20.0629,77.7054,Hurricane/Typhoon,5.4,2402,145332267.41,60.2,Medium
2016,India,19.4869,79.7049,Flood,6.2,2349,44111059.62,52.7,Medium
2023,India,18.9067,80.1662,Earthquake,9.4,750,141261325.68,59.2,Medium
2018,Mexico,23.7224,-103.3681,Flood,4.3,384,14631802.87,22.5,Low
2017,Germany,50.8121,10.3086,Wildfire,8.7,413,28018008.51,41.7,Medium
2012,USA,37.1038,-97.2543,Wildfire,5.8,236,25724870.28,28.1,Low
2021,USA,36.755,-94.8925,Earthquake,8.5,736,98619399.03,51.2,Medium
2023,Mexico,22.9953,-100.8776,Tornado,4.9,50,3241087.96,20.4,Low
2017,China,37.3465,102.6153,Hurricane/Typhoon,5.0,777,31700260.45,30.9,Low
2017,China,35.7007,103.8104,Wildfire,8.3,548,39015407.31,42.6,Medium
2014,Mexico,24.097,-101.7874,Drought,5.7,719,8450193.18,30.8,Low
2022,USA,35.8532,-94.4461,Wildfire,5.8,77,4977746.9,24.5,Low
2013,China,36.459,103.9332,Hurricane/Typhoon,8.2,1081,48824027.47,48.5,Medium
2023,UK,53.9627,-3.7425,Flood,8.1,2023,118090620.58,64.4,Medium
2020,Germany,52.5992,10.7909,Flood,6.6,1804,31193862.59,47.6,Medium
2014,USA,37.6116,-94.8576,Drought,6.4,1285,28163076.45,41.3,Medium
2022,Brazil,-15.0669,-51.97,Hurricane/Typhoon,7.4,2804,269511667.69,84.6,High
2022,Italy,43.3405,11.4876,Flood,4.1,1493,59565483.21,37.3,Low
2018,Japan,36.7932,139.8066,Flood,6.8,1620,56982921.17,49.1,Medium
2017,India,19.2353,79.8648,Hurricane/Typhoon,6.8,2379,126520312.73,63.6,Medium
2020,Italy,41.2266,12.9684,Tornado,7.0,77,5620261.08,29.3,Low
2013,Philippines,12.4315,121.4374,Drought,5.6,837,21694582.39,32.9,Low
2014,UK,56.7481,-2.9426,Earthquake,8.6,733,101114983.73,51.8,Medium
2017,Japan,34.8253,138.2187,Wildfire,9.2,555,39546876.06,46.3,Medium
2011,Japan,34.3882,136.3225,Tornado,5.6,91,2773942.78,23.6,Low
2021,Mexico,23.6439,-101.3227,Earthquake,6.4,282,26644083.03,31.1,Low
2014,Japan,35.2313,137.6113,Earthquake,6.2,620,69501347.93,38.0,Low
2013,Japan,36.9605,138.3115,Wildfire,8.2,498,52752682.82,43.1,Medium
2014,Canada,57.1531,-104.4414,Wildfire,7.7,154,16578518.26,34.0,Low
2015,USA,35.5116,-95.1903,Tornado,8.1,90,5733086.1,33.9,Low
2015,Philippines,13.9179,121.7636,Tornado,4.7,196,7854984.5,21.5,Low
2018,USA,38.4844,-95.9536,Hurricane/Typhoon,8.1,1304,117475798.06,57.2,Medium
2011,Germany,50.307,9.135,Earthquake,8.5,474,58433396.96,44.6,Medium
2012,China,34.4664,105.204,Hurricane/Typhoon,5.9,2056,133238185.9,57.5,Medium
2012,India,20.425,80.3696,Wildfire,6.6,80,6478440.66,27.8,Low
2013,UK,56.2405,-3.3606,Flood,5.5,1845,109200977.35,51.4,Medium
2016,Japan,34.4459,139.2868,Wildfire,7.9,109,12910102.61,34.0,Low
2021,Canada,57.3263,-104.8367,Drought,4.7,1494,35879616.99,37.3,Low
2012,Italy,42.7562,11.8148,Earthquake,8.9,590,90416395.3,50.5,Medium
2021,USA,36.7058,-95.1345,Tornado,6.8,326,19273845.43,32.4,Low
2013,Philippines,14.4207,122.8963,Hurricane/Typhoon,5.8,1535,69162273.03,45.5,Medium
2011,Brazil,-14.67,-51.0445,Tornado,6.3,286,10592202.07,29.1,Low
2016,USA,37.2971,-95.6247,Wildfire,5.7,78,8761143.59,24.5,Low
2016,Brazil,-15.1952,-50.5911,Earthquake,7.5,567,52874467.3,41.0,Medium
2015,USA,36.5819,-95.202,Earthquake,6.2,716,138160193.37,45.8,Medium
2018,India,20.8797,76.9809,Earthquake,6.8,645,95377225.34,43.2,Medium
2017,Italy,42.381,12.6932,Hurricane/Typhoon,6.4,1465,117222476.67,52.0,Medium
2016,Mexico,23.9211,-103.9901,Earthquake,8.6,157,18736636.78,37.8,Low
2010,China,37.1514,103.6351,Flood,7.2,1887,35263543.38,51.2,Medium
2013,USA,38.644,-95.805,Hurricane/Typhoon,6.5,2455,157525621.14,66.3,Medium
2023,Brazil,-13.1147,-50.4319,Hurricane/Typhoon,7.5,2102,170978932.7,68.1,Medium
2016,Canada,57.0569,-106.6723,Flood,6.3,2185,102698879.57,57.3,Medium
2016,USA,37.9081,-94.2569,Flood,5.0,2138,35207156.95,44.9,Medium
2022,Japan,36.4361,139.9368,Flood,7.8,651,13305782.01,39.0,Low
2019,Brazil,-16.0689,-53.3068,Earthquake,9.5,360,41499991.94,45.7,Medium
2021,USA,35.6615,-94.5748,Hurricane/Typhoon,8.7,1549,144588976.75,64.7,Medium
2010,Japan,37.4765,138.2052,Flood,5.6,383,12941907.78,27.5,Low
2023,Brazil,-13.9669,-50.3189,Wildfire,7.1,185,19117268.45,32.2,Low
2022,Germany,51.0037,10.2497,Hurricane/Typhoon,8.5,1632,74025722.92,57.7,Medium
2019,China,36.3544,103.7389,Drought,4.4,193,5628186.84,20.1,Low
2016,Italy,42.8137,13.1437,Tornado,7.2,302,17457578.92,33.6,Low
2017,UK,54.6054,-2.8494,Hurricane/Typhoon,5.3,2834,205493509.29,70.1,High
2010,Philippines,14.6992,121.857,Wildfire,7.3,69,4030967.74,30.3,Low
2015,Canada,54.849,-108.2641,Wildfire,6.1,504,28186379.49,32.3,Low
2014,Brazil,-14.9483,-51.5644,Hurricane/Typhoon,8.7,1692,112046008.46,62.9,Medium
2022,India,22.0286,78.2295,Earthquake,6.4,151,21897040.44,29.3,Low
2016,Australia,-26.5393,134.8432,Flood,8.3,893,15762448.43,43.7,Medium
2023,Canada,54.8558,-105.4868,Earthquake,6.3,195,25260053.8,29.7,Low
2023,Australia,-25.7679,135.081,Flood,4.9,1168,43430999.41,35.6,Low
2016,Philippines,12.4102,120.2303,Flood,6.1,1867,33504471.68,46.4,Medium
2018,USA,37.6242,-94.0551,Flood,6.5,615,16041797.95,33.8,Low
2021,Brazil,-13.0891,-52.7015,Hurricane/Typhoon,5.3,2904,203355336.78,70.6,High
2021,UK,53.9395,-3.2682,Flood,5.1,1935,112734734.91,51.0,Medium
2018,Brazil,-16.0628,-50.6694,Drought,5.5,1437,42307631.05,40.6,Medium
2022,USA,38.824,-95.7813,Hurricane/Typhoon,8.4,1857,185615529.02,70.7,High
2019,Mexico,22.481,-101.1873,Earthquake,6.6,596,87951594.45,41.2,Medium
2013,Australia,-25.6888,132.2619,Flood,6.5,1344,73278331.72,46.8,Medium
2017,Japan,36.2193,139.4582,Tornado,8.3,335,11953346.72,37.7,Low
2013,Philippines,12.6809,120.7537,Drought,4.4,1041,30376227.59,31.0,Low
2014,Australia,-23.6139,132.3049,Drought,5.4,108,3027121.19,23.0,Low
2016,China,35.5127,105.7711,Wildfire,8.4,133,13979811.74,36.3,Low
2017,China,34.1701,102.3138,Tornado,7.0,354,9701347.17,32.5,Low
2010,Canada,55.6355,-105.9348,Earthquake,8.9,763,151116316.1,58.3,Medium
2016,USA,36.5719,-96.938,Flood,7.3,1351,61639301.84,48.9,Medium
2015,Philippines,11.636,123.0351,Hurricane/Typhoon,8.2,1205,65136849.34,51.4,Medium
2020,Germany,50.612,9.573,Drought,5.8,528,5355349.83,29.0,Low
2020,Canada,56.6837,-107.8962,Earthquake,7.8,224,32751985.84,36.7,Low
2022,China,36.1228,104.9195,Hurricane/Typhoon,5.3,825,69925685.21,36.4,Low
2016,USA,38.8243,-94.2881,Tornado,7.3,150,4726663.93,31.2,Low
2021,China,37.8278,104.9619,Hurricane/Typhoon,6.0,2594,241205985.33,74.1,High
2012,USA,36.7985,-95.0176,Wildfire,8.8,380,30505781.36,42.1,Medium
2023,Canada,55.2261,-105.6193,Hurricane/Typhoon,6.4,478,44467454.03,34.8,Low
2017,Japan,35.3117,137.9302,Hurricane/Typhoon,5.0,1097,65910336.76,37.6,Low
2012,Italy,43.1007,14.5211,Flood,7.1,504,28357451.63,36.3,Low
2019,Japan,35.5169,136.5014,Hurricane/Typhoon,5.1,2069,183072453.47,59.4,Medium
2018,China,36.3652,103.5272,Earthquake,6.4,294,57346557.77,34.3,Low
2010,Mexico,24.9165,-102.4713,Flood,4.3,1996,98571333.6,47.0,Medium
2016,China,36.1757,102.5321,Flood,4.2,1483,81644738.16,39.8,Low
2019,Philippines,14.0006,120.018,Tornado,4.2,322,18537898.29,21.9,Low
2019,USA,37.8003,-95.473,Earthquake,7.3,148,22803283.1,33.0,Low
2020,India,22.0483,80.1099,Hurricane/Typhoon,6.8,2201,193049447.34,68.5,Medium
2010,Italy,42.3469,11.9185,Drought,6.1,1029,20934241.33,36.8,Low
2011,China,34.292,102.2392,Wildfire,7.7,248,28099863.06,36.1,Low
2020,USA,37.1256,-96.2884,Hurricane/Typhoon,7.5,1061,57919086.74,46.4,Medium
2016,UK,53.612,-4.1833,Hurricane/Typhoon,8.8,1765,103554834.64,63.2,Medium
2012,Italy,42.972,11.1496,Earthquake,7.2,427,83876689.03,41.5,Medium
2023,Germany,51.7907,9.0284,Flood,7.7,2491,133621223.73,69.1,Medium
2017,India,19.3716,77.7615,Drought,6.1,799,11015902.04,33.5,Low
2012,Germany,51.9274,10.3196,Wildfire,8.8,393,36598997.31,42.8,Medium
2010,India,19.2391,78.7772,Wildfire,5.2,274,31344709.9,26.7,Low
2014,China,36.6329,104.0561,Flood,6.2,1557,79916464.14,48.4,Medium
2016,India,20.1913,80.2643,Flood,4.0,1665,27224067.83,35.4,Low
2015,USA,36.2523,-96.9324,Hurricane/Typhoon,8.1,479,47190388.57,41.9,Medium
2013,Japan,35.3364,137.1258,Earthquake,6.6,617,67571193.83,39.3,Low
2017,Japan,34.9043,137.2972,Flood,7.7,762,24423261.37,40.9,Medium
2015,UK,53.8139,-1.6855,Earthquake,6.8,431,68662198.75,38.4,Low
2015,Canada,58.0384,-104.3492,Tornado,8.0,43,1165712.76,32.5,Low
2022,Italy,40.3932,11.3186,Hurricane/Typhoon,7.8,1602,121708665.51,59.4,Medium
2016,Canada,55.1082,-108.1552,Hurricane/Typhoon,5.8,2493,143723855.15,62.5,Medium
2014,USA,36.0787,-95.1922,Earthquake,6.4,570,111837486.63,42.5,Medium
2022,Italy,40.707,10.8856,Hurricane/Typhoon,7.7,565,28275997.05,39.3,Low
2023,India,22.1197,79.9645,Earthquake,7.8,233,27638174.8,36.3,Low
2016,India,21.368,79.8226,Hurricane/Typhoon,6.1,1942,152032064.57,59.0,Medium
2014,UK,55.9689,-4.6012,Tornado,6.0,130,5688019.81,25.9,Low
2023,Australia,-23.7152,134.0555,Drought,4.5,1227,14349983.8,31.7,Low
2011,Philippines,12.0502,121.8453,Flood,4.2,2298,98700621.03,49.7,Medium
2017,India,20.4602,78.5958,Tornado,5.4,205,4404033.82,24.1,Low
2010,India,19.6525,77.2636,Drought,4.2,1127,22828308.9,30.4,Low
2021,China,37.0035,105.8964,Flood,4.3,356,14087337.48,22.2,Low
2018,Australia,-24.5696,132.7701,Wildfire,8.5,331,20967185.26,39.4,Low
2010,China,34.4115,105.61,Wildfire,7.4,317,16039366.76,34.4,Low
2015,Australia,-23.9808,134.9025,Hurricane/Typhoon,6.6,2675,228627875.04,76.0,High
2013,USA,37.7064,-93.7529,Drought,6.5,566,8228805.74,32.5,Low
2020,Philippines,12.7678,121.8333,Wildfire,8.4,522,38547700.77,42.7,Medium
2011,USA,38.4732,-95.9948,Drought,4.7,998,18961439.83,30.7,Low
2022,Brazil,-14.7312,-51.61,Flood,8.2,239,8960351.27,36.1,Low
2020,China,35.2786,103.092,Hurricane/Typhoon,8.0,2502,145061537.71,71.5,High
2010,China,36.1303,102.3188,Flood,8.4,1552,62962451.4,55.4,Medium
2022,UK,57.025,-3.1345,Earthquake,7.3,450,39440299.4,37.6,Low
2010,India,20.4891,78.2754,Drought,5.6,723,8578272.19,30.5,Low
2013,USA,37.3016,-97.5818,Wildfire,7.2,241,15407108.66,32.8,Low
2013,Italy,41.4136,11.3836,Earthquake,7.8,515,44750606.56,40.8,Medium
2023,Germany,49.8473,11.8888,Hurricane/Typhoon,5.6,753,35954439.89,33.5,Low
2010,India,21.5626,78.516,Drought,3.8,521,8437669.78,21.3,Low
2019,Mexico,24.2892,-103.9149,Hurricane/Typhoon,6.2,1131,79337954.94,44.0,Medium
2012,Philippines,11.9718,119.7998,Flood,4.3,1835,77470373.1,43.3,Medium
2013,Japan,35.5156,138.5269,Hurricane/Typhoon,6.9,460,38749223.62,36.1,Low
2012,Australia,-23.746,133.5952,Wildfire,8.2,354,27391219.31,39.1,Low
2017,Mexico,25.0294,-102.8898,Flood,6.8,1969,70100863.41,53.9,Medium
2020,Italy,40.6038,12.8345,Earthquake,9.3,295,54948180.36,45.6,Medium
2011,Japan,37.7302,138.401,Wildfire,5.3,272,30902342.41,27.0,Low
2019,India,21.6374,77.4449,Earthquake,8.6,566,97343334.33,49.8,Medium
2013,Australia,-25.4663,132.7811,Hurricane/Typhoon,6.8,599,46920866.45,37.9,Low
2017,China,35.7076,103.5646,Earthquake,6.7,88,7153386.54,28.4,Low
2021,USA,38.7585,-96.4016,Wildfire,7.2,119,6637630.09,30.7,Low
2014,China,36.7143,103.9409,Hurricane/Typhoon,6.1,960,48225931.91,38.8,Low
2022,USA,35.4921,-96.5334,Hurricane/Typhoon,6.6,617,49534937.61,37.5,Low
2015,USA,36.183,-95.9474,Flood,7.2,2380,58851432.1,58.5,Medium
2012,Philippines,14.216,123.016,Hurricane/Typhoon,7.9,721,45738151.51,43.4,Medium
2019,Australia,-27.0603,131.7887,Wildfire,8.5,305,23248664.42,39.4,Low
2019,Japan,34.5655,137.9367,Drought,4.3,493,11634400.92,23.3,Low
2021,USA,38.925,-97.3236,Tornado,7.0,380,11408677.42,32.9,Low
2021,India,19.0207,78.2686,Hurricane/Typhoon,5.8,1148,110276469.11,45.7,Medium
2011,India,20.3015,77.8896,Flood,5.5,261,8638128.31,25.5,Low
2022,Australia,-25.7133,133.6051,Flood,7.7,1711,29048078.9,50.8,Medium
2023,Italy,41.5144,13.6302,Hurricane/Typhoon,9.0,2496,218339063.61,82.8,High
2012,Canada,56.4068,-107.3322,Flood,5.5,1791,81500392.6,48.1,Medium
2014,Canada,56.9049,-107.0118,Hurricane/Typhoon,8.5,1602,158087429.58,65.8,Medium
2011,China,34.1301,102.2606,Drought,4.8,1146,26142367.6,33.3,Low
2019,Japan,36.5499,140.2035,Flood,6.8,708,20459917.31,36.3,Low
2010,Philippines,13.899,122.2491,Flood,5.7,1414,34064010.04,40.3,Medium
2014,India,21.1582,77.9123,Wildfire,9.4,504,51280938.84,47.8,Medium
2019,Australia,-26.1575,134.3444,Wildfire,7.3,474,45202180.38,38.5,Low
2020,Australia,-27.1752,135.1577,Earthquake,6.8,602,52066304.41,38.4,Low
2016,Italy,43.8235,13.7658,Wildfire,6.0,440,38061335.37,32.2,Low
2016,Japan,36.7191,136.5085,Hurricane/Typhoon,8.8,513,40045815.01,44.3,Medium
2021,USA,35.9069,-97.343,Hurricane/Typhoon,8.3,1137,61601076.94,50.7,Medium
2013,USA,37.99,-96.4641,Wildfire,6.1,230,21254204.88,28.8,Low
2011,Australia,-24.9643,135.6409,Flood,7.9,2170,40363559.66,57.3,Medium
2019,Canada,55.723,-107.6689,Hurricane/Typhoon,7.0,2075,177660395.82,66.5,Medium
2021,Mexico,24.8042,-104.4708,Earthquake,9.0,357,54057655.21,45.0,Medium
2023,Japan,37.1066,137.2792,Hurricane/Typhoon,6.8,1836,135365573.84,59.1,Medium
2020,Germany,50.4929,11.3095,Flood,8.1,217,3380326.67,34.9,Low
2013,Germany,52.0614,10.4158,Drought,6.8,864,15276166.68,37.4,Low
